trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.25, 'e': 0.320821300824607}",25,13,-2.2044764969116297,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.25, 'e': 0.3181037354104065}",20,0,-3.9752337999020257,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.25, 'e': 0.3153984996765693}",25,15,17.44541388793025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.25, 'e': 0.3127057198027958}",25,12,-27.92389432370807,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.25, 'e': 0.3100255188723875}",25,16,15.359394870295697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.25, 'e': 0.30735801686526387}",35,22,-6.489206140444527,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.25, 'e': 0.3047033306524346}",30,0,-30.391007196380627,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.25, 'e': 0.30206157399190925}",20,8,2.7285816871784867,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.25, 'e': 0.299432857526027}",25,17,14.265807938928074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.25, 'e': 0.2968172887801914}",25,6,-0.5004897046977388,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.25, 'e': 0.29421497216298875}",20,0,-8.840866471394111,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.25, 'e': 0.291626008967673}",20,0,14.779417869705588,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.25, 'e': 0.2890504973749961}",35,0,18.13071031925301,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.25, 'e': 0.28648853245736305}",35,0,-73.9766841475746,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.25, 'e': 0.28394020618429017}",20,0,-25.792408485721623,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.25, 'e': 0.2814056074291439}",30,19,-26.314489198943875,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.25, 'e': 0.27888482197713693}",20,12,-21.037777386678954,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.25, 'e': 0.2763779325345599}",20,8,17.921709963681536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.25, 'e': 0.2738850187392209}",30,0,-60.759063467526616,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 2}",0
79,False,"{'a': 0.25, 'e': 0.27140615717207217}",20,12,-41.36663040891261,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.25, 'e': 0.2689414213699951}",20,0,-1.9877846853759091,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.25, 'e': 0.2664908818397195}",30,18,-20.904920524841717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.25, 'e': 0.26405460607285147}",25,11,11.74586007251774,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.25, 'e': 0.26163265856198126}",25,0,14.35868004890041,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.25, 'e': 0.259225100817846}",20,3,-23.795020937855117,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.25, 'e': 0.2568319913875189}",25,7,-4.566822987706849,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.25, 'e': 0.25445338587359734}",20,14,11.554951557585909,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.25, 'e': 0.25208933695436275}",20,0,9.126488246674738,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.25, 'e': 0.2497398944048823}",25,18,3.6564731841651374,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.25, 'e': 0.2474051051190267}",30,18,-8.461211502566771,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.25, 'e': 0.24508501313237174}",35,21,-22.082360971461586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.25, 'e': 0.24277965964596004}",30,20,18.24436025318086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.25, 'e': 0.240489083050889}",20,0,15.931976951580282,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.25, 'e': 0.23821331895369913}",25,11,-15.597953515922743,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.25, 'e': 0.23595240020253394}",30,18,22.759783862722582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.25, 'e': 0.2337063569140403}",30,2,-14.540894685701163,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 1}",1
